Municipio;Departamento;MatemÌÁtica;Lenguaje;Promedio;Evaluados
SANTANDER DE QUILICHAO;CAUCA;42.81;45.42;0.441;1015
SILVIA;CAUCA;39.92;43.63;0.315;358
SOTARA (PAISPAMBA);CAUCA;40.1;44.4;0.347;83
SUAREZ;CAUCA;40.72;43.34;0.321;189
SUCRE;CAUCA;41.12;45.26;0.4;42
TIMBIO;CAUCA;42.92;46.71;0.49;315
TIMBIQUI;CAUCA;38.87;39.98;0.16;162
TORIBIO;CAUCA;39.07;43.46;0.291;243
TOTORO;CAUCA;39.38;44.08;0.319;144
VILLA RICA;CAUCA;39.74;42.37;0.265;178
AGUACHICA;CESAR;43.54;45.9;0.474;737
AGUSTIN CODAZZI;CESAR;42.77;43.94;0.387;582
ASTREA;CESAR;40.52;44.3;0.352;211
BECERRIL;CESAR;43.05;43.53;0.378;231
BOSCONIA;CESAR;41.9;44.49;0.388;446
CHIMICHAGUA;CESAR;40.38;43.22;0.31;452
CHIRIGUANA;CESAR;42.04;43.55;0.357;228
CURUMANI;CESAR;41.76;45;0.404;314
EL COPEY;CESAR;42.11;45.36;0.424;250
EL PASO;CESAR;40.28;43.3;0.311;391
GAMARRA;CESAR;41.26;42.83;0.314;127
GONZALEZ;CESAR;44.77;46.68;0.529;31
LA GLORIA;CESAR;40.59;43.98;0.342;108
LA JAGUA DE IBIRICO;CESAR;41.24;43.7;0.345;342
LA PAZ (ROBLES);CESAR;42.54;45.61;0.443;175
MANAURE BALCON DEL CESAR;CESAR;43.81;46.45;0.5;152
PAILITAS;CESAR;40.61;43.49;0.325;191
PELAYA;CESAR;40.28;43.09;0.303;213
PUEBLO BELLO;CESAR;42.94;45.91;0.462;107
RIO DE ORO;CESAR;43.71;44.78;0.437;115
SAN ALBERTO;CESAR;46.52;47.59;0.599;174
SAN DIEGO;CESAR;40.88;44.17;0.355;200
SAN MARTIN;CESAR;43.81;46.86;0.515;174
TAMALAMEQUE;CESAR;40.06;42.11;0.263;189
VALLEDUPAR;CESAR;42.89;45.61;0.45;3922
ACANDI;CHOCÌÒ;39.74;43.04;0.29;57
ALTO BAUDO (PIE DE PATO);CHOCÌÒ;40.17;38.8;0.145;35
ATRATO (YUTO);CHOCÌÒ;37.5;39.4;0.11;70
BAGADO;CHOCÌÒ;39.5;41.02;0.211;75
BAHIA SOLANO (MUTIS);CHOCÌÒ;39.43;41.92;0.243;104
BAJO BAUDO   (PIZARRO);CHOCÌÒ;38.43;39.55;0.135;44
BELEN DE BAJIRA;CHOCÌÒ;43.14;43.77;0.388;22
BOJAYA (BELLAVISTA);CHOCÌÒ;40.2;37.8;0.109;5
CANTON DEL SAN PABLO;CHOCÌÒ;39.92;41.12;0.224;51
CARMEN DEL DARIEN;CHOCÌÒ;40.38;40.1;0.197;29
CERTEGUI;CHOCÌÒ;37.28;42.47;0.217;47
CONDOTO;CHOCÌÒ;40.96;43.46;0.331;241
EL CARMEN;CHOCÌÒ;44.62;46.33;0.513;87
EL LITORAL DEL SAN JUAN;CHOCÌÒ;42.74;40.96;0.278;23
ITSMINA;CHOCÌÒ;40.5;43.64;0.328;500
JURADO;CHOCÌÒ;35.06;39.22;0.051;18
LLORO;CHOCÌÒ;40.24;41.61;0.248;46
MEDIO ATRATO;CHOCÌÒ;37.67;42.33;0.22;3
MEDIO BAUDO;CHOCÌÒ;40.73;40.09;0.204;22
MEDIO SAN JUAN;CHOCÌÒ;37.52;41.55;0.188;31
NOVITA;CHOCÌÒ;39.83;40.88;0.213;42
NUQUI;CHOCÌÒ;40.48;40.5;0.213;40
QUIBDO;CHOCÌÒ;40.77;43.75;0.337;1550
RIO IRO;CHOCÌÒ;37.72;41;0.173;42
RIO QUITO;CHOCÌÒ;39.75;39.64;0.166;77
RIOSUCIO;CHOCÌÒ;38.69;39.44;0.137;122
SAN JOSE DEL PALMAR;CHOCÌÒ;43.58;47.32;0.527;38
SIPI;CHOCÌÒ;39.73;41.73;0.242;15
TADO;CHOCÌÒ;39.38;41.14;0.213;280
UNGUIA;CHOCÌÒ;40.38;42.17;0.272;76
UNION PANAMERICANA;CHOCÌÒ;36.4;41.6;0.166;15
AGUA DE DIOS;CUNDINAMARCA;44.36;46.24;0.504;143
ALBAN;CUNDINAMARCA;42.08;44.83;0.404;89
ANAPOIMA;CUNDINAMARCA;43.53;46.27;0.488;167
ANOLAIMA;CUNDINAMARCA;44.26;46.84;0.523;243
ARBELAEZ;CUNDINAMARCA;46.3;47.96;0.608;144
BELTRAN;CUNDINAMARCA;41.26;43;0.321;46
BITUIMA;CUNDINAMARCA;44.29;48.86;0.598;21
BOJACÌ;CUNDINAMARCA;45.27;46.86;0.546;93
CABRERA;CUNDINAMARCA;40.15;43.64;0.32;83
CACHIPAY;CUNDINAMARCA;43.7;45.92;0.478;87
CAJICA;CUNDINAMARCA;46.09;48.18;0.611;546
CAPARRAPI;CUNDINAMARCA;42.2;46.13;0.454;102
CAQUEZA;CUNDINAMARCA;46;46.58;0.551;184
CARMEN DE CARUPA;CUNDINAMARCA;43;45.54;0.45;93
CHAGUANI;CUNDINAMARCA;41.94;43.53;0.354;32
CHIA;CUNDINAMARCA;47.48;49.36;0.683;866
CHIPAQUE;CUNDINAMARCA;45.34;46.61;0.538;74
CHOACHI;CUNDINAMARCA;45.08;46.67;0.535;166
CHOCONTA;CUNDINAMARCA;45.2;45.61;0.499;270
COGUA;CUNDINAMARCA;44.47;47.39;0.548;193
COTA;CUNDINAMARCA;43.43;47.47;0.529;225
CUCUNUBA;CUNDINAMARCA;42.13;45.57;0.432;109
EL COLEGIO;CUNDINAMARCA;43.9;46.38;0.499;346
EL PEÌÔON;CUNDINAMARCA;41.65;42.91;0.326;43
EL ROSAL;CUNDINAMARCA;43.24;45.28;0.445;201
FACATATIVA;CUNDINAMARCA;45.03;48.77;0.61;1220
FOMEQUE;CUNDINAMARCA;44.78;46.22;0.512;173
FOSCA;CUNDINAMARCA;42.95;45.7;0.455;64
FUNZA;CUNDINAMARCA;43.09;47.04;0.506;584
FUQUENE;CUNDINAMARCA;44.43;49.32;0.617;65
FUSAGASUGA;CUNDINAMARCA;44.37;47.98;0.568;1260
GACHALA;CUNDINAMARCA;40.45;44;0.34;63
GACHANCIPA;CUNDINAMARCA;43.63;47.17;0.522;100
GACHETA;CUNDINAMARCA;44.57;46.87;0.531;145
GAMA;CUNDINAMARCA;45.14;45.73;0.502;22
GIRARDOT;CUNDINAMARCA;42.48;45.42;0.434;774
GRANADA;CUNDINAMARCA;45.05;45.95;0.508;86
GUACHETA;CUNDINAMARCA;42.13;46.1;0.451;149
GUADUAS;CUNDINAMARCA;42.51;45.72;0.446;252
GUASCA;CUNDINAMARCA;44.49;47.16;0.54;221
GUATAQUI;CUNDINAMARCA;38.84;41.73;0.223;44
GUATAVITA;CUNDINAMARCA;42.9;44.65;0.415;57
GUAYABAL DE SIQUIMA;CUNDINAMARCA;41.44;45.65;0.42;82
GUAYABETAL;CUNDINAMARCA;43.48;46.31;0.488;62
GUTIERREZ;CUNDINAMARCA;42.68;44.49;0.405;43
JERUSALEN;CUNDINAMARCA;43.1;44.59;0.417;29
JUNIN;CUNDINAMARCA;43.64;45.57;0.464;102
LA CALERA;CUNDINAMARCA;44.54;48.6;0.594;199
LA MESA;CUNDINAMARCA;46.01;49.48;0.657;255
LA PALMA;CUNDINAMARCA;41.74;44.93;0.401;149
LA PEÌÔA;CUNDINAMARCA;42.21;43.91;0.374;75
LA VEGA;CUNDINAMARCA;42.63;45.9;0.455;226
LENGUAZAQUE;CUNDINAMARCA;44.44;45.43;0.476;93
MACHETA;CUNDINAMARCA;44.41;46.78;0.525;101
MADRID;CUNDINAMARCA;44.82;47.31;0.553;630
MANTA;CUNDINAMARCA;41.43;45.66;0.421;78
MEDINA;CUNDINAMARCA;45.67;47.1;0.563;58
MOSQUERA;CUNDINAMARCA;45.32;48.27;0.598;892
NARIÌÔO;CUNDINAMARCA;40.88;47.04;0.459;26
NEMOCON;CUNDINAMARCA;45.22;46.78;0.542;129
NILO;CUNDINAMARCA;44.76;47.26;0.55;84
NIMAIMA;CUNDINAMARCA;40.78;44.79;0.375;37
NOCAIMA;CUNDINAMARCA;45.09;48.46;0.6;83
PACHO;CUNDINAMARCA;43.38;46.43;0.49;420
PAIME;CUNDINAMARCA;42.87;43.87;0.386;52
PANDI;CUNDINAMARCA;41.39;45.26;0.405;31
PARATEBUENO;CUNDINAMARCA;42.64;44;0.386;75
PASCA;CUNDINAMARCA;44.26;48.53;0.585;199
PUERTO SALGAR;CUNDINAMARCA;43.36;46.87;0.506;157
PULI;CUNDINAMARCA;39.76;45.16;0.367;25
QUEBRADANEGRA;CUNDINAMARCA;41.87;47.69;0.503;48
QUETAME;CUNDINAMARCA;43.72;46.47;0.499;93
QUIPILE;CUNDINAMARCA;43.09;45.13;0.437;97
RAFAEL REYES (APULO);CUNDINAMARCA;40.77;43.5;0.328;102
RICAURTE;CUNDINAMARCA;43.5;44.56;0.425;97
SAN ANTONIO DE TEQUENDAMA;CUNDINAMARCA;46.1;47.08;0.572;138
SAN BERNARDO;CUNDINAMARCA;44.99;46.07;0.511;136
SAN CAYETANO;CUNDINAMARCA;41.01;42.86;0.31;78
SAN FRANCISCO;CUNDINAMARCA;42.66;47.45;0.512;94
SAN JUAN DE RIO SECO;CUNDINAMARCA;43.74;46.69;0.507;121
SASAIMA;CUNDINAMARCA;43.42;45.98;0.475;177
SESQUILE;CUNDINAMARCA;44.65;47.01;0.538;156
SIBATE;CUNDINAMARCA;43.65;46.13;0.485;339
SILVANIA;CUNDINAMARCA;41.29;44.67;0.382;267
SIMIJACA;CUNDINAMARCA;46.83;46.2;0.555;143
SOACHA;CUNDINAMARCA;43.59;46.92;0.512;3353
SOPO;CUNDINAMARCA;46.14;47.82;0.599;296
SUBACHOQUE;CUNDINAMARCA;43.79;47.55;0.54;155
SUESCA;CUNDINAMARCA;42.45;44.43;0.398;224
SUPATA;CUNDINAMARCA;43.48;47.21;0.52;85
SUSA;CUNDINAMARCA;44.25;47.07;0.532;81
SUTATAUSA;CUNDINAMARCA;43.5;45.65;0.464;92
TABIO;CUNDINAMARCA;42.5;47.04;0.493;265
TAUSA;CUNDINAMARCA;44.35;47.53;0.551;82
TENA;CUNDINAMARCA;42.05;46.83;0.476;85
TENJO;CUNDINAMARCA;43.07;46.68;0.492;220
TIBACUY;CUNDINAMARCA;43.47;46.37;0.49;43
TIBIRITA;CUNDINAMARCA;43.59;48.68;0.576;37
TOCAIMA;CUNDINAMARCA;43.34;44.1;0.405;148
TOCANCIPA;CUNDINAMARCA;46.39;47.61;0.597;431
TOPAIPI;CUNDINAMARCA;40.8;42;0.275;66
UBALA;CUNDINAMARCA;42.16;44.51;0.394;100
UBAQUE;CUNDINAMARCA;43.47;46.36;0.489;66
UBATE;CUNDINAMARCA;44.85;47.68;0.567;569
UNE;CUNDINAMARCA;45.17;48.58;0.606;76
UTICA;CUNDINAMARCA;40.63;43.35;0.32;60
VENECIA (OSPINA PEREZ);CUNDINAMARCA;42.13;43.28;0.349;64
VERGARA;CUNDINAMARCA;43.61;46.19;0.486;59
VIANI;CUNDINAMARCA;42.94;46.37;0.479;37
VILLAGOMEZ;CUNDINAMARCA;43.81;47.22;0.528;27
VILLAPINZON;CUNDINAMARCA;44.75;45.81;0.497;272
VILLETA;CUNDINAMARCA;44.66;47.15;0.544;303
VIOTA;CUNDINAMARCA;41.82;44.22;0.377;219
YACOPI;CUNDINAMARCA;42.38;44.57;0.401;93
ZIPACON;CUNDINAMARCA;41.88;45.75;0.433;71
ZIPAQUIRA;CUNDINAMARCA;46.21;47.93;0.605;1159
INIRIDA;GUAINÌA;45.14;47.77;0.576;194
MAPIRIPANA;GUAINÌA;38.79;41.21;0.203;19
CALAMAR;GUAVIARE;43.87;46.26;0.494;54
EL RETORNO;GUAVIARE;40.18;43.26;0.307;130
MIRAFLORES;GUAVIARE;40.36;46.25;0.419;28
SAN JOSE DEL GUAVIARE;GUAVIARE;42.69;45.08;0.426;732
ACEVEDO;HUILA;41.85;45.37;0.419;151
AGRADO;HUILA;44.01;45.78;0.48;72
AIPE;HUILA;44.14;44.75;0.445;149
ALGECIRAS;HUILA;44.55;46.28;0.509;216
ALTAMIRA;HUILA;45.89;48.76;0.628;45
BARAYA;HUILA;40.55;44.9;0.374;69
CAMPOALEGRE;HUILA;43.12;45.72;0.459;242
COLOMBIA;HUILA;47.13;45.17;0.524;47
ELIAS;HUILA;44.4;48.12;0.573;42
GARZON;HUILA;44.33;47.73;0.558;609
GIGANTE;HUILA;45.61;46.65;0.546;321
GUADALUPE;HUILA;42.49;44.6;0.405;161
HOBO;HUILA;42.28;44.8;0.408;54
IQUIRA;HUILA;43.94;46.12;0.491;116
ISNOS;HUILA;45.34;47.57;0.573;218
LA ARGENTINA;HUILA;44.76;49.99;0.649;127
LA PLATA;HUILA;44.73;47.3;0.55;578
NATAGA;HUILA;41.57;45.19;0.407;98
NEIVA;HUILA;45.03;47.58;0.567;3155
OPORAPA;HUILA;46.48;46.76;0.568;91
PAICOL;HUILA;49.27;48.05;0.674;44
PALERMO;HUILA;47.09;47.4;0.604;231
PALESTINA;HUILA;42.65;45.71;0.448;94
PITAL;HUILA;41.8;45.66;0.429;112
PITALITO;HUILA;45.85;48.05;0.601;1452
RIVERA;HUILA;44;46.06;0.49;202
SALADOBLANCO;HUILA;43.4;45.87;0.47;131
SAN AGUSTIN;HUILA;43.41;45.95;0.473;413
SANTA MARIA;HUILA;40.52;45.08;0.38;111
SUAZA;HUILA;43.43;46.81;0.505;104
TARQUI;HUILA;43.55;47.66;0.538;202
TELLO;HUILA;41.94;43.18;0.342;163
TERUEL;HUILA;46.48;48.28;0.623;46
TESALIA;HUILA;44.64;45.83;0.495;110
TIMANA;HUILA;42.99;46.15;0.471;174
VILLAVIEJA;HUILA;42.8;43.37;0.367;76
YAGUARA;HUILA;43.66;44.36;0.421;104
ALBANIA;LA GUAJIRA;40.29;42.13;0.268;166
BARRANCAS;LA GUAJIRA;41.22;42.8;0.312;321
DIBULLA;LA GUAJIRA;40;43.02;0.295;177
DISTRACCION;LA GUAJIRA;39.39;42.13;0.249;91
EL MOLINO;LA GUAJIRA;38.33;41.67;0.21;42
FONSECA;LA GUAJIRA;41.98;43.8;0.365;470
HATONUEVO;LA GUAJIRA;40.46;43.86;0.335;161
LA JAGUA DEL PILAR;LA GUAJIRA;40.47;42;0.267;19
MAICAO;LA GUAJIRA;41.41;43.73;0.35;1826
MANAURE;LA GUAJIRA;40.23;43.59;0.32;123
RIOHACHA;LA GUAJIRA;41.84;44.35;0.382;1640
SAN JUAN DEL CESAR;LA GUAJIRA;42.43;45.56;0.438;415
URIBIA;LA GUAJIRA;40.72;43.16;0.315;283
URUMITA;LA GUAJIRA;41.89;44.49;0.388;96
VILLANUEVA;LA GUAJIRA;40.75;43.67;0.334;230
ALGARROBO;MAGDALENA;40.25;42.62;0.285;138
ARACATACA;MAGDALENA;40.06;41.85;0.253;466
ARIGUANI (EL DIFICIL);MAGDALENA;40.6;43.19;0.313;342
CERRO SAN ANTONIO;MAGDALENA;38.37;41.3;0.197;60
CHIVOLO;MAGDALENA;40.69;43.02;0.309;191
CIENAGA;MAGDALENA;40.42;42.45;0.283;1073
CONCORDIA;MAGDALENA;39.27;41.06;0.208;151
EL BANCO;MAGDALENA;40.4;43.35;0.315;605
EL PIÌÔON;MAGDALENA;39.88;41.73;0.245;212
EL RETEN;MAGDALENA;39.58;41.79;0.241;245
FUNDACION;MAGDALENA;41.41;43.24;0.333;755
GUAMAL;MAGDALENA;40.06;42.87;0.29;403
NUEVA GRANADA;MAGDALENA;39.79;42.49;0.271;89
PEDRAZA;MAGDALENA;38.77;40.43;0.174;111
PIJIÌÔO DEL CARMEN;MAGDALENA;40.02;43.39;0.308;118
PIVIJAY;MAGDALENA;44.96;44.72;0.462;412
PLATO;MAGDALENA;39.62;42.46;0.266;603
PUEBLOVIEJO;MAGDALENA;39.83;40.49;0.199;251
REMOLINO;MAGDALENA;39.51;40.81;0.204;95
SABANAS DE SAN ANGEL;MAGDALENA;40.13;42.3;0.271;91
SALAMINA;MAGDALENA;40.57;43.89;0.338;104
SAN SEBASTIAN DE BUENAVISTA;MAGDALENA;40.48;44.67;0.365;246
SAN ZENON;MAGDALENA;40.29;43.22;0.308;112
SANTA ANA;MAGDALENA;40.26;43.04;0.301;319
SANTA BARBARA DE PINTO;MAGDALENA;41.72;41.14;0.263;35
SANTA MARTA;MAGDALENA;41.73;44.58;0.388;4537
SITIONUEVO;MAGDALENA;41.01;43.92;0.349;113
TENERIFE;MAGDALENA;39.56;42.23;0.256;124
ZAPAYAN;MAGDALENA;40.5;40.47;0.213;76
ZONA BANANERA;MAGDALENA;40.03;42.31;0.269;663
ACACIAS;META;44.62;46.51;0.519;1003
BARRANCA DE UPIA;META;42.7;44.1;0.391;70
CABUYARO;META;39.37;43.39;0.294;54
CASTILLA LA NUEVA;META;42.77;44.88;0.421;191
CUBARRAL;META;42.23;45.81;0.443;73
CUMARAL;META;43.53;46.81;0.507;256
EL CALVARIO;META;45.36;47.44;0.569;25
EL CASTILLO;META;42.3;46.1;0.455;60
EL DORADO;META;43.2;45.39;0.449;56
FUENTE DE ORO;META;42.88;45.5;0.446;146
GRANADA;META;44.18;46.97;0.526;792
GUAMAL;META;43.97;47.75;0.551;153
LA MACARENA;META;42.02;45.1;0.413;99
LA URIBE;META;44.9;47.32;0.555;43
LEJANIAS;META;43.36;45.45;0.454;111
MAPIRIPAN;META;41.11;43.42;0.333;38
MESETAS;META;42.36;44.1;0.384;78
PUERTO CONCORDIA;META;40.81;43.55;0.331;63
PUERTO GAITAN;META;42.38;44.06;0.383;223
PUERTO LLERAS;META;41.82;45.17;0.411;88
PUERTO LOPEZ;META;42.71;45.05;0.426;338
PUERTO RICO;META;43.66;46.39;0.495;90
RESTREPO;META;46.04;48.13;0.608;241
SAN CARLOS DE GUAROA;META;42.46;44.24;0.391;101
SAN JUAN DE ARAMA;META;41.83;45.56;0.425;104
SAN JUANITO;META;42.67;44.11;0.391;18
SAN MARTIN;META;44.14;46.29;0.501;278
VILLAVICENCIO;META;45.92;48.34;0.613;4311
VISTA HERMOSA;META;41.39;45.73;0.422;126
ALBAN (SAN JOSE);NARIÌÔO;43.83;45.68;0.473;161
ALDANA;NARIÌÔO;45.84;47.41;0.578;92
ANCUYA;NARIÌÔO;46.62;46.53;0.563;101
ARBOLEDA (BERRUECOS);NARIÌÔO;43.24;45.08;0.438;85
BARBACOAS;NARIÌÔO;40.65;42.64;0.295;231
BELEN;NARIÌÔO;47.51;46.69;0.588;104
BUESACO;NARIÌÔO;44.49;46.78;0.527;142
CHACHAGUI;NARIÌÔO;45.62;47.28;0.569;118
COLON (GENOVA);NARIÌÔO;55.72;47.93;0.807;85
CONSACA;NARIÌÔO;46.82;47.13;0.589;126
CONTADERO;NARIÌÔO;41.08;47.08;0.465;37
CORDOBA;NARIÌÔO;44.29;45.86;0.489;202
CUASPUD (CARLOSAMA);NARIÌÔO;41.48;44.23;0.37;60
CUMBAL;NARIÌÔO;43.9;46.05;0.487;375
CUMBITARA;NARIÌÔO;38.41;42.9;0.256;98
EL CHARCO;NARIÌÔO;40.87;41.81;0.269;159
EL PEÌÔOL;NARIÌÔO;43.39;44.24;0.411;111
EL ROSARIO;NARIÌÔO;40.17;44.88;0.365;42
EL TABLON;NARIÌÔO;45.18;45.67;0.501;205
EL TAMBO;NARIÌÔO;47.75;47.71;0.629;152
FRANCISCO PIZARRO;NARIÌÔO;39.01;42.06;0.239;85
FUNES;NARIÌÔO;44.22;48.23;0.573;64
GUACHUCAL;NARIÌÔO;46.33;48.41;0.624;197
GUAITARILLA;NARIÌÔO;45.84;46.58;0.548;138
GUALMATAN;NARIÌÔO;45.06;47.61;0.568;69
ILES;NARIÌÔO;43.7;47.43;0.533;102
IMUES;NARIÌÔO;44.26;44.75;0.448;97
IPIALES;NARIÌÔO;47.85;49.07;0.681;1150
LA CRUZ;NARIÌÔO;53.15;46.68;0.707;246
LA FLORIDA;NARIÌÔO;44.04;45.74;0.479;129
LA LLANADA;NARIÌÔO;44.88;45.21;0.478;62
LA TOLA;NARIÌÔO;41.52;39.59;0.202;56
LA UNION;NARIÌÔO;58.54;48.88;0.902;247
LEIVA;NARIÌÔO;41.41;42.75;0.315;88
LINARES;NARIÌÔO;44.26;46.55;0.513;105
LOS ANDES (SOTOMAYOR);NARIÌÔO;44.26;46.17;0.499;125
MAGUI (PAYAN);NARIÌÔO;40.88;42.3;0.287;56
MALLAMA (PIEDRANCHA);NARIÌÔO;41.28;46.11;0.434;77
MOSQUERA;NARIÌÔO;39.97;39.72;0.174;58
NARIÌÔO;NARIÌÔO;45.74;47.82;0.591;39
OLAYA HERRERA;NARIÌÔO;39.51;42.82;0.277;100
OSPINA;NARIÌÔO;44.99;47.79;0.573;85
PASTO;NARIÌÔO;46.29;48.13;0.614;3718
POLICARPA;NARIÌÔO;42.03;43.98;0.373;98
POTOSI;NARIÌÔO;45.31;48.11;0.592;132
PROVIDENCIA;NARIÌÔO;41.79;43;0.332;58
PUERRES;NARIÌÔO;48.79;48.74;0.689;91
PUPIALES;NARIÌÔO;46.88;48.75;0.649;223
RICAURTE;NARIÌÔO;42.81;44.28;0.4;116
ROBERTO PAYAN (SAN JOSE);NARIÌÔO;38.25;41.2;0.191;56
SAMANIEGO;NARIÌÔO;45.41;46.6;0.54;341
SAN BERNARDO;NARIÌÔO;46.7;48.28;0.628;109
SAN LORENZO;NARIÌÔO;43.28;45.13;0.441;170
SAN PABLO;NARIÌÔO;44.5;46.45;0.515;169
SAN PEDRO DE CARTAGO;NARIÌÔO;40.42;44.5;0.357;54
SANDONA;NARIÌÔO;49.56;47.38;0.656;263
SANTA BARBARA (ISCUANDE);NARIÌÔO;39.42;41.29;0.219;24
SANTACRUZ (GUACHAVES);NARIÌÔO;43.62;44.92;0.44;78
SAPUYES;NARIÌÔO;45.54;46.89;0.553;70
TAMINANGO;NARIÌÔO;48.21;45.92;0.574;301
TANGUA;NARIÌÔO;43.2;45.17;0.44;103
TUMACO;NARIÌÔO;40.11;42.41;0.275;2056
TUQUERRES;NARIÌÔO;48.53;48.46;0.673;393
YACUANQUER;NARIÌÔO;44.39;46.01;0.496;151
ABREGO;NORTE SANTANDER;43.58;46.08;0.482;208
ARBOLEDAS;NORTE SANTANDER;42.49;43.95;0.381;119
BOCHALEMA;NORTE SANTANDER;44.96;46.88;0.54;109
BUCARASICA;NORTE SANTANDER;41.21;45.51;0.411;43
CACHIRA;NORTE SANTANDER;45.76;46.35;0.538;107
CACOTA;NORTE SANTANDER;42.78;43.22;0.361;31
CHINACOTA;NORTE SANTANDER;47.1;49.08;0.665;187
CHITAGA;NORTE SANTANDER;44.67;47.55;0.558;69
CONVENCION;NORTE SANTANDER;44.58;46.88;0.532;154
CUCUTA;NORTE SANTANDER;45.54;46.96;0.555;5944
CUCUTILLA;NORTE SANTANDER;46.16;45.42;0.512;75
DURANIA;NORTE SANTANDER;43.82;43.18;0.382;50
EL CARMEN;NORTE SANTANDER;41.09;46.08;0.429;69
EL TARRA;NORTE SANTANDER;41.16;43.26;0.328;62
EL ZULIA;NORTE SANTANDER;42.52;44.53;0.403;217
GRAMALOTE;NORTE SANTANDER;45.14;46.59;0.534;69
HACARI;NORTE SANTANDER;42.25;44.13;0.383;24
HERRAN;NORTE SANTANDER;45.42;48.83;0.621;24
LA ESPERANZA;NORTE SANTANDER;42.69;46.63;0.483;57
LA PLAYA;NORTE SANTANDER;40.96;45.82;0.417;57
LABATECA;NORTE SANTANDER;44.39;45.86;0.491;72
LOS PATIOS;NORTE SANTANDER;45.37;47.12;0.558;510
LOURDES;NORTE SANTANDER;45.33;46.91;0.549;33
MUTISCUA;NORTE SANTANDER;46.74;45.59;0.531;34
OCAÌÔA;NORTE SANTANDER;48.34;48.43;0.668;1009
PAMPLONA;NORTE SANTANDER;46.21;48.48;0.625;535
PAMPLONITA;NORTE SANTANDER;46.05;48.22;0.612;42
PUERTO SANTANDER;NORTE SANTANDER;43.19;44.15;0.403;54
RAGONVALIA;NORTE SANTANDER;42.56;44.22;0.392;45
SALAZAR;NORTE SANTANDER;43.19;45.3;0.445;101
SAN CALIXTO;NORTE SANTANDER;40.09;44.19;0.339;32
SAN CAYETANO;NORTE SANTANDER;40.84;44.08;0.351;50
SANTIAGO;NORTE SANTANDER;44.62;43.79;0.421;29
SARDINATA;NORTE SANTANDER;46.06;47.97;0.603;146
SILOS;NORTE SANTANDER;44.24;47.79;0.558;29
TEORAMA;NORTE SANTANDER;42.3;44.97;0.414;83
TIBU;NORTE SANTANDER;43.97;45.39;0.465;260
TOLEDO;NORTE SANTANDER;43.28;45.3;0.447;234
VILLA CARO;NORTE SANTANDER;43.25;47.08;0.511;36
VILLA DEL ROSARIO;NORTE SANTANDER;43.76;45.88;0.478;795
COLON;PUTUMAYO;44.83;46;0.505;59
MOCOA;PUTUMAYO;44.01;46.3;0.499;848
ORITO;PUTUMAYO;42.53;44.86;0.415;471
PUERTO  LEGUIZAMO;PUTUMAYO;41.86;44.59;0.391;214
PUERTO ASIS;PUTUMAYO;43.85;46.03;0.486;537
PUERTO CAICEDO;PUTUMAYO;40.73;43.37;0.323;160
PUERTO GUZMAN;PUTUMAYO;40.81;43.77;0.339;97
SAN FRANCISCO;PUTUMAYO;43.91;44.57;0.434;99
SAN MIGUEL;PUTUMAYO;40.96;43.58;0.335;249
SANTIAGO;PUTUMAYO;42.86;46.05;0.465;59
SIBUNDOY;PUTUMAYO;45.75;48.03;0.599;314
VILLA GUAMEZ (LA HORMIGA);PUTUMAYO;42.2;45;0.413;485
VILLAGARZON;PUTUMAYO;44.71;45.99;0.503;329
ARMENIA;QUINDÌO;44.44;47.28;0.544;3423
BUENAVISTA;QUINDÌO;41.46;44.89;0.394;56
CALARCA;QUINDÌO;43.34;47.16;0.516;879
CIRCASIA;QUINDÌO;45.77;47.82;0.591;354
CORDOBA;QUINDÌO;42.77;45.74;0.452;74
FILANDIA;QUINDÌO;43.69;46.25;0.49;191
GENOVA;QUINDÌO;40.69;45.02;0.382;103
LA TEBAIDA;QUINDÌO;42.63;45.52;0.441;485
MONTENEGRO;QUINDÌO;43.3;46.2;0.48;484
PIJAO;QUINDÌO;40.27;43.67;0.324;172
QUIMBAYA;QUINDÌO;42.78;46.6;0.484;429
SALENTO;QUINDÌO;42.7;46.71;0.486;80
APIA;RISARALDA;41.33;44.32;0.37;333
BALBOA;RISARALDA;40.93;44.87;0.381;85
BELEN DE UMBRIA;RISARALDA;42.09;45.62;0.433;329
DOS QUEBRADAS;RISARALDA;44.98;48.36;0.594;1551
GUATICA;RISARALDA;41.6;44.92;0.397;182
LA CELIA;RISARALDA;42.95;44.41;0.408;82
LA VIRGINIA;RISARALDA;43.08;45.77;0.46;397
MARSELLA;RISARALDA;42.94;45.7;0.454;174
MISTRATO;RISARALDA;41.35;43.54;0.342;110
PEREIRA;RISARALDA;44.11;47.67;0.551;5116
PUEBLO RICO;RISARALDA;39.41;41.04;0.21;141
QUINCHIA;RISARALDA;42.55;47.11;0.497;333
SANTA ROSA DE CABAL;RISARALDA;45.83;48.27;0.609;660
SANTUARIO;RISARALDA;44.44;46.72;0.523;119
PROVIDENCIA;SAN ANDRÌäS;41.18;43.52;0.338;49
SAN ANDRES;SAN ANDRÌäS;43.08;44.99;0.431;572
AGUADA;SANTANDER;48.25;48.25;0.66;20
ALBANIA;SANTANDER;41.94;46.62;0.466;50
ARATOCA;SANTANDER;42.09;44.43;0.39;167
BARBOSA;SANTANDER;44.97;47.12;0.549;307
BARICHARA;SANTANDER;48.28;49.02;0.688;95
